year_month,btc,eth,date
2017-08,4724.89,384.79,2017-08-01
2017-09,4378.51,304.36,2017-09-01
2017-10,6463.0,304.9,2017-10-01
2017-11,9838.96,427.43,2017-11-01
2017-12,13716.36,733.98,2017-12-01
2018-01,10285.1,1124.81,2018-01-01
2018-02,10326.76,853.5,2018-02-01
2018-03,6923.91,393.92,2018-03-01
2018-04,9246.01,670.78,2018-04-01
2018-05,7485.01,577.81,2018-05-01
2018-06,6390.07,454.09,2018-06-01
2018-07,7730.93,432.22,2018-07-01
2018-08,7011.21,281.41,2018-08-01
2018-09,6626.57,232.94,2018-09-01
2018-10,6371.93,198.73,2018-10-01
2018-11,4041.32,113.73,2018-11-01
2018-12,3702.9,131.45,2018-12-01
2019-01,3434.1,106.44,2019-01-01
2019-02,3813.69,135.34,2019-02-01
2019-03,4103.95,141.38,2019-03-01
2019-04,5320.81,161.83,2019-04-01
2019-05,8555.0,267.9,2019-05-01
2019-06,10854.1,292.7,2019-06-01
2019-07,10080.53,218.42,2019-07-01
2019-08,9587.47,171.57,2019-08-01
2019-09,8289.34,180.85,2019-09-01
2019-10,9140.85,182.18,2019-10-01
2019-11,7541.89,151.37,2019-11-01
2019-12,7195.23,129.16,2019-12-01
2020-01,9352.89,179.99,2020-01-01
2020-02,8523.61,217.21,2020-02-01
2020-03,6410.44,132.72,2020-03-01
2020-04,8620.0,206.08,2020-04-01
2020-05,9448.27,231.57,2020-05-01
2020-06,9138.55,225.6,2020-06-01
2020-07,11335.46,346.33,2020-07-01
2020-08,11649.51,433.79,2020-08-01
2020-09,10776.59,359.83,2020-09-01
2020-10,13791.0,386.46,2020-10-01
2020-11,19695.87,616.66,2020-11-01
2020-12,28923.63,736.42,2020-12-01
2021-01,33092.98,1312.55,2021-01-01
2021-02,45135.66,1419.18,2021-02-01
2021-03,58740.55,1919.37,2021-03-01
2021-04,57694.27,2772.42,2021-04-01
2021-05,37253.81,2706.15,2021-05-01
2021-06,35045.0,2275.68,2021-06-01
2021-07,41461.83,2531.05,2021-07-01
2021-08,47100.89,3429.2,2021-08-01
2021-09,43824.1,3000.61,2021-09-01
2021-10,61299.8,4287.21,2021-10-01
2021-11,56950.56,4630.26,2021-11-01
2021-12,46216.93,3676.23,2021-12-01
2022-01,38466.9,2686.94,2022-01-01
2022-02,43160.0,2920.95,2022-02-01
2022-03,45510.34,3281.51,2022-03-01
2022-04,37630.8,2726.66,2022-04-01
2022-05,31801.04,1941.9,2022-05-01
2022-06,19942.21,1071.01,2022-06-01
2022-07,23293.32,1678.12,2022-07-01
2022-08,20050.02,1554.1,2022-08-01
2022-09,19422.61,1328.72,2022-09-01
2022-10,20490.74,1572.69,2022-10-01
2022-11,17163.64,1294.46,2022-11-01
2022-12,16542.4,1196.13,2022-12-01
2023-01,23125.13,1585.33,2023-01-01
2023-02,23141.57,1605.23,2023-02-01
2023-03,28465.36,1821.52,2023-03-01
2023-04,29233.21,1870.09,2023-04-01
2023-05,27210.35,1873.63,2023-05-01
2023-06,30472.0,1933.79,2023-06-01
2023-07,29232.25,1856.14,2023-07-01
2023-08,25940.78,1645.76,2023-08-01
2023-09,26962.56,1670.89,2023-09-01
2023-10,34639.77,1814.67,2023-10-01
2023-11,37723.96,2051.96,2023-11-01
2023-12,42283.58,2281.87,2023-12-01
2024-01,42580.0,2283.14,2024-01-01
2024-02,61130.98,3340.09,2024-02-01
2024-03,71280.01,3645.29,2024-03-01
2024-04,60672.0,3014.05,2024-04-01
2024-05,67540.01,3762.29,2024-05-01
2024-06,62772.01,3438.16,2024-06-01
2024-07,64628.0,3232.74,2024-07-01
2024-08,58973.99,2513.01,2024-08-01
2024-09,63327.59,2602.23,2024-09-01
2024-10,70292.01,2518.61,2024-10-01
2024-11,96407.99,3703.6,2024-11-01
2024-12,93576.0,3337.78,2024-12-01
2025-01,102429.56,3300.99,2025-01-01
2025-02,84349.94,2237.59,2025-02-01
2025-03,82550.01,1822.43,2025-03-01
2025-04,94172.0,1793.61,2025-04-01
2025-05,104591.88,2528.06,2025-05-01
2025-06,107146.5,2485.47,2025-06-01
2025-07,115764.08,3698.39,2025-07-01
2025-08,108246.35,4391.83,2025-08-01
2025-09,114048.93,4145.15,2025-09-01
2025-10,109608.01,3847.99,2025-10-01
2025-11,90360.0,2991.26,2025-11-01
2025-12,87648.22,2971.64,2025-12-01
2026-01,78741.09,2451.95,2026-01-01
2026-02,65762.86,1924.88,2026-02-01
